[Wed Jun 18 15:28:40 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 15:29:37 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 15:29:40 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 2
[Wed Jun 18 15:30:44 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 15:30:47 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 2
[Wed Jun 18 15:32:43 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 15:32:47 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 2
[Wed Jun 18 15:32:57 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 3
[Wed Jun 18 15:33:00 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 4
[Wed Jun 18 15:34:56 2025] Zwycięzca: Remis | Niebieski: 0, Czerwony: 0
[Wed Jun 18 15:38:29 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 15:46:09 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 15:47:05 2025] Zwycięzca: Remis | Niebieski: 0, Czerwony: 0
[Wed Jun 18 15:47:50 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 15:49:50 2025] Zwycięzca: Remis | Niebieski: 0, Czerwony: 0
[Wed Jun 18 15:57:58 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 15:58:26 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 15:58:47 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 15:58:49 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 2
[Wed Jun 18 15:58:53 2025] Zwycięzca: Remis | Niebieski: 0, Czerwony: 2
[Wed Jun 18 15:58:55 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 3
[Wed Jun 18 16:00:11 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 16:00:14 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 2
[Wed Jun 18 16:00:49 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 16:00:54 2025] Zwycięzca: Remis | Niebieski: 0, Czerwony: 1
[Wed Jun 18 16:00:59 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 2
[Wed Jun 18 16:01:04 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 3
[Wed Jun 18 16:02:58 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 16:03:01 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 2
[Wed Jun 18 16:03:12 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 16:03:17 2025] Zwycięzca: Remis | Niebieski: 0, Czerwony: 1
[Wed Jun 18 16:03:29 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 2
[Wed Jun 18 16:03:34 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 3
[Wed Jun 18 16:03:38 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 4
[Wed Jun 18 16:03:42 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 5
[Wed Jun 18 16:03:45 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 6
[Wed Jun 18 16:04:11 2025] Zwycięzca: Remis | Niebieski: 0, Czerwony: 0
[Wed Jun 18 16:04:14 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 16:04:34 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 16:04:56 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 16:07:49 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 16:08:01 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 16:08:04 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 2
[Wed Jun 18 16:08:07 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 3
[Wed Jun 18 16:08:11 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 4
[Wed Jun 18 16:08:34 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 16:08:39 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 2
[Wed Jun 18 16:09:04 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 16:09:36 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 16:09:40 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 2
[Wed Jun 18 16:10:03 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 3
[Wed Jun 18 16:13:30 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 16:13:35 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 2
[Wed Jun 18 16:14:00 2025] Zwycięzca: Remis | Niebieski: 0, Czerwony: 0
[Wed Jun 18 16:15:24 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 16:15:29 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 2
[Wed Jun 18 16:18:09 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 16:18:15 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 2
[Wed Jun 18 16:21:08 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 16:21:12 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 2
[Wed Jun 18 16:21:16 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 3
[Wed Jun 18 16:22:54 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 16:23:00 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 2
[Wed Jun 18 16:23:12 2025] Zwycięzca: Remis | Niebieski: 0, Czerwony: 2
[Wed Jun 18 16:23:20 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 3
[Wed Jun 18 16:23:25 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 4
[Wed Jun 18 16:23:29 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 5
[Wed Jun 18 16:23:33 2025] Zwycięzca: Remis | Niebieski: 0, Czerwony: 5
[Wed Jun 18 16:25:17 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 16:26:19 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 16:26:24 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 2
[Wed Jun 18 16:26:28 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 3
[Wed Jun 18 16:26:32 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 4
[Wed Jun 18 16:27:42 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 1
[Wed Jun 18 16:27:51 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 2
[Wed Jun 18 16:27:57 2025] Zwycięzca: Remis | Niebieski: 0, Czerwony: 2
[Wed Jun 18 16:28:06 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 3
[Wed Jun 18 16:28:11 2025] Zwycięzca: Czerwony | Niebieski: 0, Czerwony: 4
